week,matchup,home_team,away_team,home_score,away_score,winner,margin
13,4,LNO,PTB,135.6,67.84,LNO,67.76
13,5,DPCX,MXBN,99.68,93.2,DPCX,6.48
13,6,BRIM,MRYJ,112.76,72.8,BRIM,39.96
14,1,CHLK,AWAY,137.68,0.0,CHLK,137.68
14,2,PTB,MXBN,42.62,75.54,MXBN,32.92
14,3,JAG,MRYJ,110.84,77.22,JAG,33.62
14,4,BRIM,AWAY,63.7,0.0,BRIM,63.7
14,5,DPCX,DKGG,61.0,52.94,DPCX,8.06
14,6,SSS,GFM,79.0,101.12,GFM,22.12
14,7,LNO,WWZ,96.7,72.64,LNO,24.06
15,1,CHLK,MXBN,104.96,74.44,CHLK,30.52
15,2,BRIM,JAG,73.44,80.18,JAG,6.74
15,3,PTB,MRYJ,60.86,102.74,MRYJ,41.88
15,4,DPCX,GFM,66.1,130.42,GFM,64.32
15,5,DKGG,LNO,112.38,136.02,LNO,23.64
15,6,SSS,WWZ,55.24,79.32,WWZ,24.08
16,1,CHLK,JAG,130.46,104.48,CHLK,25.98
16,2,BRIM,MXBN,80.18,91.38,MXBN,11.2
16,3,PTB,MRYJ,127.66,112.04,PTB,15.62
16,4,LNO,GFM,127.16,95.7,LNO,31.46
16,5,DPCX,DKGG,97.1,81.48,DPCX,15.62
16,6,SSS,WWZ,80.46,77.96,SSS,2.5
