week,matchup,home_team,away_team,home_score,away_score,winner,margin
8,2,PCX,MRYJ,114.2,130.86,MRYJ,16.66
8,3,JAG,DKGG,161.96,94.16,JAG,67.8
8,4,LNO,CHLK,82.2,78.46,LNO,3.74
8,5,PITB,WZRD,113.14,95.9,PITB,17.24
8,6,MXLB,GFM,55.64,159.72,GFM,104.08
9,1,GFM,LNO,134.5,112.14,GFM,22.36
9,2,BRIM,PITB,76.62,114.0,PITB,37.38
9,3,CHLK,PCX,90.44,130.44,PCX,40.0
9,4,MXLB,DKGG,107.36,111.16,DKGG,3.8
9,5,WZRD,SSS,80.02,87.66,SSS,7.64
9,6,JAG,MRYJ,111.9,74.88,JAG,37.02
10,1,PCX,GFM,94.92,144.76,GFM,49.84
10,2,WZRD,LNO,100.9,81.0,WZRD,19.9
10,3,JAG,MXLB,67.46,108.56,MXLB,41.1
10,4,DKGG,SSS,129.26,76.6,DKGG,52.66
10,5,MRYJ,PITB,137.22,132.0,MRYJ,5.22
10,6,CHLK,BRIM,149.1,91.32,CHLK,57.78
11,1,CHLK,MXLB,123.88,122.58,CHLK,1.3
11,2,PITB,DKGG,101.14,144.34,DKGG,43.2
11,3,PCX,WZRD,111.72,68.44,PCX,43.28
11,4,LNO,SSS,97.52,122.68,SSS,25.16
11,5,BRIM,MRYJ,85.14,132.38,MRYJ,47.24
11,6,GFM,JAG,140.62,50.42,GFM,90.2
12,1,LNO,PITB,91.44,97.18,PITB,5.74
12,2,JAG,PCX,133.2,105.42,JAG,27.78
12,3,BRIM,GFM,115.08,93.52,BRIM,21.56
12,4,SSS,MXLB,81.08,103.42,MXLB,22.34
12,5,WZRD,MRYJ,114.74,131.34,MRYJ,16.6
12,6,CHLK,DKGG,115.72,113.32,CHLK,2.4
13,1,GFM,MRYJ,132.8,117.1,GFM,15.7
13,2,LNO,DKGG,85.78,102.84,DKGG,17.06
13,3,SSS,CHLK,52.64,58.72,CHLK,6.08
13,4,WZRD,JAG,118.44,77.26,WZRD,41.18
13,5,PCX,BRIM,113.74,58.84,PCX,54.9
13,6,MXLB,PITB,79.42,84.0,PITB,4.58
14,1,GFM,AWAY,79.68,0.0,GFM,79.68
14,2,PCX,MRYJ,51.4,94.1,MRYJ,42.7
14,3,CHLK,PITB,105.36,80.68,CHLK,24.68
14,4,DKGG,AWAY,117.52,0.0,DKGG,117.52
14,5,BRIM,MXLB,78.1,89.34,MXLB,11.24
14,6,WZRD,LNO,104.82,115.74,LNO,10.92
14,7,JAG,SSS,115.18,91.02,JAG,24.16
15,1,GFM,MRYJ,63.72,87.34,MRYJ,23.62
15,2,DKGG,CHLK,76.26,79.18,CHLK,2.92
15,3,PCX,PITB,125.86,58.54,PCX,67.32
15,4,BRIM,LNO,100.92,41.02,BRIM,59.9
15,5,MXLB,JAG,77.16,113.76,JAG,36.6
15,6,WZRD,SSS,81.46,118.14,SSS,36.68
16,1,CHLK,MRYJ,111.68,74.84,CHLK,36.84
16,2,GFM,DKGG,145.72,105.54,GFM,40.18
16,3,PCX,PITB,109.06,103.26,PCX,5.8
16,4,BRIM,JAG,138.9,97.26,BRIM,41.64
16,5,LNO,SSS,63.14,114.02,SSS,50.88
16,6,MXLB,WZRD,119.76,98.2,MXLB,21.56
