year,team_id,team_abbrev,team_name
2022,9,CHLK,3 Alpha Chalkers
2022,11,MRYJ,4 Mary Jane 
2022,12,WZRD,12 White Wizards
2022,13,TACT,10 Tactical Tacticians
2022,14,TFF,9 Teem Fontsy Foball
2023,1,PCX,9 Gypsy PCX
2023,2,GFM,7 Great Fantasy Minds
2023,3,MXLB,6 Mex Banese 
2023,4,BRIM,10 Brimstone Bohemians
2023,5,SSBB,11 SS Bobber Bandits
2023,7,JAGB,1 Jag Bombers
2023,8,LNO,4 Least Needlish Ones
2023,9,CHLK,8 Alpha Chalkers
2023,11,MRYJ,12 Mary Jane 
2023,12,WZRD,5 White Wizards
2023,13,TACT,2 Tactical Tacticians
2023,14,PKMC,3 PKMC Unhinged
2024,1,PCX,Gypsy PCX
2024,2,GFM,Great Fantasy Minds
2024,3,MXLB,Mex Banese 
2024,4,BRIM,Brimstone Bohemians
2024,5,SSBB,SS Bobber Bandits
2024,7,JAGB,Jag Bombers 
2024,8,LNO,Least Needlish Ones
2024,9,CHLK,Alpha Chalkers
2024,11,MRYJ,Mary Jane 
2024,12,WZRD,White Wizards
2024,13,TACT,Tactical Tacticians
2024,14,PKMC,PKMC Unhinged
