week,matchup,home_team,away_team,home_score,away_score,winner,margin
13,1,2SCM,GOW,117.0,64.0,2SCM,53.0
13,2,GFM,BBWZ,107.0,101.0,GFM,6.0
13,3,BBRS,PTB,108.0,60.0,BBRS,48.0
13,4,KNAB,DKGG,94.0,142.0,DKGG,48.0
13,5,COCK,MJI,48.0,72.0,MJI,24.0
13,6,SWEE,AC,83.0,65.0,SWEE,18.0
14,1,BBRS,AWAY,0.0,0.0,TIE,0.0
14,2,KNAB,MJI,95.0,118.0,MJI,23.0
14,3,2SCM,SWEE,142.0,87.0,2SCM,55.0
14,4,DKGG,AWAY,0.0,0.0,TIE,0.0
14,5,AC,BBWZ,76.0,124.0,BBWZ,48.0
14,6,COCK,PTB,101.0,83.0,COCK,18.0
14,7,GOW,GFM,98.0,93.0,GOW,5.0
15,1,BBRS,MJI,88.0,111.0,MJI,23.0
15,2,DKGG,2SCM,101.0,90.0,DKGG,11.0
15,3,KNAB,SWEE,64.0,94.0,SWEE,30.0
15,4,BBWZ,GFM,91.0,120.0,GFM,29.0
15,5,COCK,GOW,103.0,111.0,GOW,8.0
15,6,AC,PTB,98.0,62.0,AC,36.0
16,1,DKGG,MJI,95.0,102.0,MJI,7.0
16,2,BBRS,2SCM,124.0,89.0,BBRS,35.0
16,3,KNAB,SWEE,137.0,60.0,KNAB,77.0
16,4,GOW,GFM,113.0,74.0,GOW,39.0
16,5,COCK,BBWZ,96.0,81.0,COCK,15.0
16,6,AC,PTB,104.0,77.0,AC,27.0
